study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
t-shirt,10,10,0,1.003333333,1.0977318,,,,,,,,,,,,0,10,10,7,,,,,17.0826855,,17.0722109,17.0826855,17.0826855,18.1851437,1.003333333,1.0977318,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
poster,11,11,0,1.003333333,1.1825624,,,,,,,,,,,,0,11,11,14,,,,,18.2009057,,18.1879476,18.2009057,18.2009057,19.3862636,1.003333333,1.1825624,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
phone,12,12,0,1.003333333,1.1504168,,,,,,,,,,,,0,12,12,2,,,,,19.4020905,,19.3897116,19.4020905,19.4020905,20.5562461,1.003333333,1.1504168,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
book,13,13,0,1.003333333,1.1815133,,,,,,,,,,,,0,13,13,0,,,,,20.5698542,,20.5588193,20.5698542,20.5698542,21.7556755,1.003333333,1.1815133,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
keys,14,14,0,1.003333333,1.1176333,,,,,,,,,,,,0,14,14,13,,,,,21.7713352,,21.7587801,21.7713352,21.7713352,22.8892074,1.003333333,1.1176333,,,,,,,,,,,,,,,,subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,0,0,0,,,c_m_ra,camera,new,camera,[np.float64(-0.009166666666666667)],[np.float64(-0.2975)],[1],[0],[0],[10.072351100039668],['text'],,,,,0,0,0,19,22.9075757,,,,,,,,22.8975842,22.9075757,22.9075757,22.9075757,0.0083673,32.9178678,32.9702075,camera,[np.float64(-0.009166666666666667)],[np.float64(-0.2975)],[1],[0],[0],[10.072351100039668],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,1,1,0,,,_o_rd,board,old ,board,[np.float64(-0.0125)],[np.float64(-0.29083333333333333)],[1],[0],[0],[12.32600729999831],['text'],,,,,0,1,1,10,32.9846209,,,,,,,,32.9730072,32.9846209,32.9846209,32.9846209,0.0026213,42.9950176,45.2993236,board,[np.float64(-0.0125)],[np.float64(-0.29083333333333333)],[1],[0],[0],[12.32600729999831],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,2,2,0,,,l_pt_p,laptop,old ,laptop,[np.float64(-0.024166666666666666)],[np.float64(-0.2991666666666667)],[1],[0],[0],[5.620847699989099],['text'],,,,,0,2,2,0,45.3154669,,,,,,,,45.3021413,45.3154669,45.3154669,45.3154669,0.0026473,,50.9233223,laptop,[np.float64(-0.024166666666666666)],[np.float64(-0.2991666666666667)],[1],[0],[0],[5.620847699989099],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,3,3,0,,,_ou_e,mouse,old ,mouse,[np.float64(-0.024166666666666666)],[np.float64(-0.2991666666666667)],[1],[0],[0],[3.098799599974882],['text'],,,,,0,3,3,3,50.9383947,,,,,,,,50.9267338,50.9383947,50.9383947,50.9383947,0.0032255,,54.0258603,mouse,[np.float64(-0.024166666666666666)],[np.float64(-0.2991666666666667)],[1],[0],[0],[3.098799599974882],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,4,4,0,,,v_s_,vase,new,vase,[np.float64(-0.024166666666666666)],[np.float64(-0.2991666666666667)],[1],[0],[0],[3.8336110000382178],['text'],,,,,0,4,4,17,54.0397964,,,,,,,,54.0300102,54.0397964,54.0397964,54.0397964,0.0039823,,57.863912,vase,[np.float64(-0.024166666666666666)],[np.float64(-0.2991666666666667)],[1],[0],[0],[3.8336110000382178],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,5,5,0,,,_ru_se,cruise,old ,cruise,[np.float64(0.05333333333333334)],[np.float64(-0.2991666666666667)],[1],[0],[0],[5.920982200012077],['text'],,,,,0,5,5,6,57.8782975,,,,,,,,57.8668587,57.8782975,57.8782975,57.8782975,0.0028113,,63.7881977,cruise,[np.float64(0.05333333333333334)],[np.float64(-0.2991666666666667)],[1],[0],[0],[5.920982200012077],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,6,6,0,,,_ho_e,phone,old ,phone,[np.float64(-0.018333333333333333)],[np.float64(-0.30333333333333334)],[1],[0],[0],[14.796156800002791],['text'],,,,,0,6,6,12,63.8033901,,,,,,,,63.7905835,63.8033901,63.8033901,63.8033901,0.0022194,73.8135176,78.5870404,phone,[np.float64(-0.018333333333333333)],[np.float64(-0.30333333333333334)],[1],[0],[0],[14.796156800002791],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,7,7,0,,,_ha_t,chart,old ,chart,[np.float64(-0.0075)],[np.float64(-0.3125)],[1],[0],[0],[6.353891699982341],['text'],,,,,0,7,7,1,78.6014755,,,,,,,,78.5908771,78.6014755,78.6014755,78.6014755,0.0036554,,84.9451822,chart,[np.float64(-0.0075)],[np.float64(-0.3125)],[1],[0],[0],[6.353891699982341],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,8,8,0,,,c_s_io_,cushion,old ,cushion,[np.float64(-0.0075)],[np.float64(-0.3125)],[1],[0],[0],[6.518236999982037],['text'],,,,,0,8,8,14,84.9619039,,,,,,,,84.9489042,84.9619039,84.9619039,84.9619039,0.0035236,,91.4675003,cushion,[np.float64(-0.0075)],[np.float64(-0.3125)],[1],[0],[0],[6.518236999982037],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,9,9,0,,,P_li_e,police,old ,police,[np.float64(0.0425)],[np.float64(-0.2975)],[1],[0],[0],[3.514644799986854],['text'],,,,,0,9,9,7,91.483723,,,,,,,,91.4726839,91.483723,91.483723,91.483723,0.0048988,,94.9879572,police,[np.float64(0.0425)],[np.float64(-0.2975)],[1],[0],[0],[3.514644799986854],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,10,10,0,,,p_nc_l,pencil,new,pencil,[np.float64(0.013333333333333334)],[np.float64(-0.2975)],[1],[0],[0],[4.618385699985083],['text'],,,,,0,10,10,16,95.0026567,,,,,,,,94.9912865,95.0026567,95.0026567,95.0026567,0.0031398,,99.6099854,pencil,[np.float64(0.013333333333333334)],[np.float64(-0.2975)],[1],[0],[0],[4.618385699985083],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,11,11,0,,,_a_bl_,marble,old ,marble,[np.float64(-0.0025)],[np.float64(-0.3)],[1],[0],[0],[5.920592000009492],['text'],,,,,0,11,11,11,99.6255686,,,,,,,,99.6125054,99.6255686,99.6255686,99.6255686,0.0023882,,105.5334473,marble,[np.float64(-0.0025)],[np.float64(-0.3)],[1],[0],[0],[5.920592000009492],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,12,12,0,,,p_st_r,poster,old ,pastry,[np.float64(-0.030833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[5.117571400012821],['text'],,,,,0,12,12,9,105.547762,,,,,,,,105.5367063,105.547762,105.547762,105.547762,0.003104,,110.6547408,pastry,[np.float64(-0.030833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[5.117571400012821],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,13,13,0,,,t_hi_t,tshirt,old ,tshirt,[np.float64(-0.030833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[4.483904499968048],['text'],,,,,0,13,13,2,110.6698235,,,,,,,,110.658185,110.6698235,110.6698235,110.6698235,0.0032683,,115.1424979,tshirt,[np.float64(-0.030833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[4.483904499968048],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,14,14,0,,,k_y_,keys,old ,keys,[np.float64(-0.030833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[4.084681900043506],['text'],,,,,0,14,14,8,115.1581652,,,,,,,,115.1455521,115.1581652,115.1581652,115.1581652,0.0028834,,119.2306622,keys,[np.float64(-0.030833333333333334)],[np.float64(-0.2966666666666667)],[1],[0],[0],[4.084681900043506],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,15,15,0,,,ta_l_,table,new,tails,[np.float64(0.018333333333333333)],[np.float64(-0.2975)],[1],[0],[0],[10.640943799982779],['text'],,,,,0,15,15,15,119.2469875,,,,,,,,119.2341778,119.2469875,119.2469875,119.2469875,0.0033633,129.2595857,129.8755942,tails,[np.float64(0.018333333333333333)],[np.float64(-0.2975)],[1],[0],[0],[10.640943799982779],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,16,16,0,,,c_s_,case,old ,case,[np.float64(-0.0625)],[np.float64(-0.29833333333333334)],[1],[0],[0],[4.618256299989298],['text'],,,,,0,16,16,5,129.8910359,,,,,,,,129.8792121,129.8910359,129.8910359,129.8910359,0.0034317,,134.4978298,case,[np.float64(-0.0625)],[np.float64(-0.29833333333333334)],[1],[0],[0],[4.618256299989298],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,17,17,0,,,bo_t_e,bottle,new,bottle,[np.float64(-0.0175)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.40238829998998],['text'],,,,,0,17,17,18,134.5129805,,,,,,,,134.5004427,134.5129805,134.5129805,134.5129805,0.0024765,,139.9033441,bottle,[np.float64(-0.0175)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.40238829998998],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,18,18,0,,,_oo_,book,old ,food,[np.float64(-0.0175)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.1514987999689765],['text'],,,,,0,18,18,13,139.9187437,,,,,,,,139.9069096,139.9187437,139.9187437,139.9187437,0.0033842,,145.0588348,food,[np.float64(-0.0175)],[np.float64(-0.29333333333333333)],[1],[0],[0],[5.1514987999689765],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
,19,19,0,,,p_s_ry,pastry,old ,pastry,[np.float64(-0.0175)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.919562599970959],['text'],,,,,0,19,19,4,145.0746565,,,,,,,,145.0614753,145.0746565,145.0746565,145.0746565,0.0024735,,149.981381,pastry,[np.float64(-0.0175)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.919562599970959],['text'],subject02,1,2025-10-19_17h23.15.014,word_priming,,2025.1.1,59.71443362,2025-10-19 17h23.38.232577 +0530
