study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_words,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,test_textbox.started,text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
phone,10,10,0,1.006666667,1.7350663,,,,,,,,,,,,0,10,10,2,,,,,25.6926813,,25.6796022,25.6926813,25.6926813,27.4294466,1.006666667,1.7350663,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
pastery,11,11,0,1.006666667,4.1363289,,,,,,,,,,,,0,11,11,9,,,,,27.445473,,27.4323266,27.445473,27.445473,31.5841853,1.006666667,4.1363289,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
t-shirt,12,12,0,1.006666667,1.4132218,,,,,,,,,,,,0,12,12,7,,,,,31.5998839,,31.5906159,31.5998839,31.5998839,33.0181176,1.006666667,1.4132218,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
mouse,13,13,0,1.006666667,1.8677965,,,,,,,,,,,,0,13,13,8,,,,,33.0338416,,33.020776,33.0338416,33.0338416,34.9040603,1.006666667,1.8677965,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
poster,14,14,0,1.006666667,1.0154037,,,,,,,,,,,,0,14,14,14,,,,,34.9190798,,34.9068385,34.9190798,34.9190798,35.9404619,1.006666667,1.0154037,,,,,,,,,,,,,,,,subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,0,0,0,,,_ou_e,mouse,old ,mouse,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[10.446600700001],['text'],,,,,0,0,0,3,35.9823299,,,,,,,,35.9718056,35.9823299,35.9823299,35.9823299,0.0313421,45.9825969,46.4187438,mouse,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[10.446600700001],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,1,1,0,,,P_li_e,police,old ,police,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[6.235720800003037],['text'],,,,,0,1,1,7,46.4352867,,,,,,,,46.4237965,46.4352867,46.4352867,46.4352867,0.004872,,52.6598755,police,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[6.235720800003037],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,2,2,0,,,t_hi_t,tshirt,old ,,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[12.85895840000012],['text'],,,,,0,2,2,2,52.6772535,,,,,,,,52.6633522,52.6772535,52.6772535,52.6772535,0.0032825,62.6837665,65.5226173,,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[12.85895840000012],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,3,3,0,,,c_m_ra,camera,new,camera,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[6.053761000002851],['text'],,,,,0,3,3,19,65.5376079,,,,,,,,65.5258858,65.5376079,65.5376079,65.5376079,0.0031013,,71.5800332,camera,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[6.053761000002851],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,4,4,0,,,_ho_e,phone,old ,phone,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[9.70611590000044],['text'],,,,,0,4,4,12,71.5970221,,,,,,,,71.5836836,71.5970221,71.5970221,71.5970221,0.0034816,,81.2900924,phone,[np.float64(-0.04833333333333333)],[np.float64(-0.30916666666666665)],[1],[0],[0],[9.70611590000044],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,5,5,0,,,_a_bl_,marble,old ,marble,[np.float64(-0.0175)],[np.float64(-0.30916666666666665)],[1],[0],[0],[5.552863500008243],['text'],,,,,0,5,5,11,81.3042279,,,,,,,,81.292395,81.3042279,81.3042279,81.3042279,0.002172,,86.845574,marble,[np.float64(-0.0175)],[np.float64(-0.30916666666666665)],[1],[0],[0],[5.552863500008243],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,6,6,0,,,_oo_,book,old ,pool,[np.float64(-0.0175)],[np.float64(-0.30916666666666665)],[1],[0],[0],[8.474363799992716],['text'],,,,,0,6,6,13,86.8612899,,,,,,,,86.8480206,86.8612899,86.8612899,86.8612899,0.0022229,,95.3226693,pool,[np.float64(-0.0175)],[np.float64(-0.30916666666666665)],[1],[0],[0],[8.474363799992716],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,7,7,0,,,ta_l_,table,new,table,[np.float64(-0.0175)],[np.float64(-0.30916666666666665)],[1],[0],[0],[5.6854081000055885],['text'],,,,,0,7,7,15,95.3369405,,,,,,,,95.3257344,95.3369405,95.3369405,95.3369405,0.0028802,,101.0114091,table,[np.float64(-0.0175)],[np.float64(-0.30916666666666665)],[1],[0],[0],[5.6854081000055885],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,8,8,0,,,c_s_io_,cushion,old ,cushion,[np.float64(-0.0125)],[np.float64(-0.31916666666666665)],[1],[0],[0],[9.458284799999092],['text'],,,,,0,8,8,14,101.0256723,,,,,,,,101.0141509,101.0256723,101.0256723,101.0256723,0.0026294,,110.4727907,cushion,[np.float64(-0.0125)],[np.float64(-0.31916666666666665)],[1],[0],[0],[9.458284799999092],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,9,9,0,,,bo_t_e,bottle,new,,[np.float64(-0.0125)],[np.float64(-0.31916666666666665)],[1],[0],[0],[11.074002099994686],['text'],,,,,0,9,9,18,110.4875087,,,,,,,,110.4761715,110.4875087,110.4875087,110.4875087,0.0032072,120.4981328,121.5504782,,[np.float64(-0.0125)],[np.float64(-0.31916666666666665)],[1],[0],[0],[11.074002099994686],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,10,10,0,,,_ha_t,chart,old ,chart,[np.float64(-0.0125)],[np.float64(-0.3016666666666667)],[1],[0],[0],[6.320465800003149],['text'],,,,,0,10,10,1,121.5697711,,,,,,,,121.5539918,121.5697711,121.5697711,121.5697711,0.0033855,,127.8748654,chart,[np.float64(-0.0125)],[np.float64(-0.3016666666666667)],[1],[0],[0],[6.320465800003149],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,11,11,0,,,p_s_ry,pastry,old ,pastry,[np.float64(-0.006666666666666667)],[np.float64(-0.30833333333333335)],[1],[0],[0],[8.054441000000224],['text'],,,,,0,11,11,4,127.8896689,,,,,,,,127.87831,127.8896689,127.8896689,127.8896689,0.0032579,,135.9330949,pastry,[np.float64(-0.006666666666666667)],[np.float64(-0.30833333333333335)],[1],[0],[0],[8.054441000000224],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,12,12,0,,,k_y_,keys,old ,keys,[np.float64(-0.006666666666666667)],[np.float64(-0.30916666666666665)],[1],[0],[0],[5.037128800002392],['text'],,,,,0,12,12,8,135.9479643,,,,,,,,135.9360988,135.9479643,135.9479643,135.9479643,0.0028349,,140.973619,keys,[np.float64(-0.006666666666666667)],[np.float64(-0.30916666666666665)],[1],[0],[0],[5.037128800002392],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,13,13,0,,,p_nc_l,pencil,new,pencil,[np.float64(-0.009166666666666667)],[np.float64(-0.30666666666666664)],[1],[0],[0],[3.9820085000101244],['text'],,,,,0,13,13,16,140.9871688,,,,,,,,140.9767935,140.9871688,140.9871688,140.9871688,0.0030019,,144.9591062,pencil,[np.float64(-0.009166666666666667)],[np.float64(-0.30666666666666664)],[1],[0],[0],[3.9820085000101244],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,14,14,0,,,v_s_,vase,new,vase,[np.float64(-0.010833333333333334)],[np.float64(-0.3016666666666667)],[1],[0],[0],[4.235706200008281],['text'],,,,,0,14,14,17,144.9739725,,,,,,,,144.9644585,144.9739725,144.9739725,144.9739725,0.0052051,,149.2005296,vase,[np.float64(-0.010833333333333334)],[np.float64(-0.3016666666666667)],[1],[0],[0],[4.235706200008281],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,15,15,0,,,_o_rd,board,old ,,[np.float64(-0.010833333333333334)],[np.float64(-0.3016666666666667)],[1],[0],[0],[8.669847800003481],['text'],,,,,0,15,15,10,149.2136268,,,,,,,,149.2031431,149.2136268,149.2136268,149.2136268,0.0024729,,157.8732955,,[np.float64(-0.010833333333333334)],[np.float64(-0.3016666666666667)],[1],[0],[0],[8.669847800003481],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,16,16,0,,,l_pt_p,laptop,old ,laptop,[np.float64(-0.01)],[np.float64(-0.31083333333333335)],[1],[0],[0],[3.5352755000058096],['text'],,,,,0,16,16,0,157.8888189,,,,,,,,157.8764755,157.8888189,157.8888189,157.8888189,0.0030329,,161.4122169,laptop,[np.float64(-0.01)],[np.float64(-0.31083333333333335)],[1],[0],[0],[3.5352755000058096],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,17,17,0,,,p_st_r,poster,old ,pastry,[np.float64(-0.013333333333333334)],[np.float64(-0.31083333333333335)],[1],[0],[0],[5.501333199994406],['text'],,,,,0,17,17,9,161.4263046,,,,,,,,161.4153443,161.4263046,161.4263046,161.4263046,0.0029306,,166.9170594,pastry,[np.float64(-0.013333333333333334)],[np.float64(-0.31083333333333335)],[1],[0],[0],[5.501333199994406],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,18,18,0,,,_ru_se,cruise,old ,cruise,[np.float64(-0.019166666666666665)],[np.float64(-0.31083333333333335)],[1],[0],[0],[7.171572499995818],['text'],,,,,0,18,18,6,166.9320017,,,,,,,,166.9196472,166.9320017,166.9320017,166.9320017,0.0024416,,174.0915625,cruise,[np.float64(-0.019166666666666665)],[np.float64(-0.31083333333333335)],[1],[0],[0],[7.171572499995818],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
,19,19,0,,,c_s_,case,old ,case,[np.float64(-0.020833333333333332)],[np.float64(-0.31083333333333335)],[1],[0],[0],[3.951596499988227],['text'],,,,,0,19,19,5,174.1066804,,,,,,,,174.0939434,174.1066804,174.1066804,174.1066804,0.0022448,,178.0459234,case,[np.float64(-0.020833333333333332)],[np.float64(-0.31083333333333335)],[1],[0],[0],[3.951596499988227],['text'],subject 01,1,2025-10-16_20h55.02.639,word_priming,,2025.1.1,59.50383324,2025-10-16 20h55.42.915519 +0530
